[0.015s][info][gc,heap] Heap region size: 1M
[0.020s][info][gc     ] Using G1
[0.020s][info][gc,heap,coops] Heap address: 0x0000000081600000, size: 2026 MB, Compressed Oops mode: 32-bit
[0.186s][info][gc,start     ] GC(0) Pause Young (G1 Evacuation Pause)
[0.186s][info][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[0.188s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.188s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 1.8ms
[0.188s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.1ms
[0.188s][info][gc,phases    ] GC(0)   Other: 0.2ms
[0.188s][info][gc,heap      ] GC(0) Eden regions: 14->0(75)
[0.188s][info][gc,heap      ] GC(0) Survivor regions: 0->1(2)
[0.188s][info][gc,heap      ] GC(0) Old regions: 0->0
[0.191s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.191s][info][gc,metaspace ] GC(0) Metaspace: 4513K->4513K(1056768K)
[0.191s][info][gc           ] GC(0) Pause Young (G1 Evacuation Pause) 14M->0M(128M) 4.928ms
[0.191s][info][gc,cpu       ] GC(0) User=0.02s Sys=0.00s Real=0.00s
[0.276s][info][gc,start     ] GC(1) Pause Young (G1 Evacuation Pause)
[0.276s][info][gc,task      ] GC(1) Using 4 workers of 4 for evacuation
[0.278s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.278s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 1.7ms
[0.278s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.1ms
[0.278s][info][gc,phases    ] GC(1)   Other: 0.2ms
[0.278s][info][gc,heap      ] GC(1) Eden regions: 75->0(75)
[0.278s][info][gc,heap      ] GC(1) Survivor regions: 1->1(10)
[0.278s][info][gc,heap      ] GC(1) Old regions: 0->0
[0.278s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.278s][info][gc,metaspace ] GC(1) Metaspace: 4540K->4540K(1056768K)
[0.278s][info][gc           ] GC(1) Pause Young (G1 Evacuation Pause) 75M->0M(128M) 2.122ms
[0.278s][info][gc,cpu       ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[0.328s][info][gc,start     ] GC(2) Pause Young (G1 Evacuation Pause)
[0.328s][info][gc,task      ] GC(2) Using 4 workers of 4 for evacuation
[0.330s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.330s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 1.5ms
[0.330s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.1ms
[0.330s][info][gc,phases    ] GC(2)   Other: 0.1ms
[0.330s][info][gc,heap      ] GC(2) Eden regions: 75->0(75)
[0.330s][info][gc,heap      ] GC(2) Survivor regions: 1->1(10)
[0.330s][info][gc,heap      ] GC(2) Old regions: 0->0
[0.330s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.330s][info][gc,metaspace ] GC(2) Metaspace: 4540K->4540K(1056768K)
[0.330s][info][gc           ] GC(2) Pause Young (G1 Evacuation Pause) 75M->0M(128M) 1.928ms
[0.330s][info][gc,cpu       ] GC(2) User=0.06s Sys=0.00s Real=0.00s
[0.404s][info][gc,start     ] GC(3) Pause Young (G1 Evacuation Pause)
[0.404s][info][gc,task      ] GC(3) Using 4 workers of 4 for evacuation
[0.406s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[0.406s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 1.9ms
[0.406s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.1ms
[0.406s][info][gc,phases    ] GC(3)   Other: 0.2ms
[0.406s][info][gc,heap      ] GC(3) Eden regions: 75->0(75)
[0.406s][info][gc,heap      ] GC(3) Survivor regions: 1->1(10)
[0.406s][info][gc,heap      ] GC(3) Old regions: 0->0
[0.406s][info][gc,heap      ] GC(3) Humongous regions: 0->0
[0.406s][info][gc,metaspace ] GC(3) Metaspace: 4540K->4540K(1056768K)
[0.406s][info][gc           ] GC(3) Pause Young (G1 Evacuation Pause) 75M->0M(128M) 2.386ms
[0.406s][info][gc,cpu       ] GC(3) User=0.00s Sys=0.00s Real=0.00s
[0.494s][info][gc,start     ] GC(4) Pause Young (G1 Evacuation Pause)
[0.494s][info][gc,task      ] GC(4) Using 4 workers of 4 for evacuation
[0.497s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[0.497s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 1.5ms
[0.497s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 1.0ms
[0.497s][info][gc,phases    ] GC(4)   Other: 0.2ms
[0.497s][info][gc,heap      ] GC(4) Eden regions: 75->0(91)
[0.497s][info][gc,heap      ] GC(4) Survivor regions: 1->1(10)
[0.497s][info][gc,heap      ] GC(4) Old regions: 0->0
[0.497s][info][gc,heap      ] GC(4) Humongous regions: 0->0
[0.497s][info][gc,metaspace ] GC(4) Metaspace: 4540K->4540K(1056768K)
[0.497s][info][gc           ] GC(4) Pause Young (G1 Evacuation Pause) 75M->0M(154M) 2.928ms
[0.497s][info][gc,cpu       ] GC(4) User=0.00s Sys=0.00s Real=0.00s
[0.663s][info][gc,start     ] GC(5) Pause Young (G1 Evacuation Pause)
[0.663s][info][gc,task      ] GC(5) Using 4 workers of 4 for evacuation
[0.665s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[0.665s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 1.5ms
[0.665s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.1ms
[0.665s][info][gc,phases    ] GC(5)   Other: 0.2ms
[0.665s][info][gc,heap      ] GC(5) Eden regions: 91->0(91)
[0.665s][info][gc,heap      ] GC(5) Survivor regions: 1->1(12)
[0.665s][info][gc,heap      ] GC(5) Old regions: 0->0
[0.665s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[0.665s][info][gc,metaspace ] GC(5) Metaspace: 4540K->4540K(1056768K)
[0.665s][info][gc           ] GC(5) Pause Young (G1 Evacuation Pause) 91M->0M(154M) 2.000ms
[0.665s][info][gc,cpu       ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[0.747s][info][gc,start     ] GC(6) Pause Young (G1 Evacuation Pause)
[0.747s][info][gc,task      ] GC(6) Using 4 workers of 4 for evacuation
[0.750s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.750s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 1.7ms
[0.750s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[0.750s][info][gc,phases    ] GC(6)   Other: 0.3ms
[0.750s][info][gc,heap      ] GC(6) Eden regions: 91->0(91)
